Start Date,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity
04-01-2005,60.51,29.21,69.22,61.31,121.39,32.08,49.22,9.54,51.95,78.06,127.16,32.41,91.96,40.23,75.16,423.15,612,146.3,130.63,29.75,108.24,463.85
05-01-2005,60.36,28.82,67.58,58.25,116.54,30.59,49.22,9.03,50.01,75.98,120.3,32.19,88.61,37.37,70.97,410.98,566,144.55,128.28,28.9,106.58,446.65
06-01-2005,59.93,28.37,66.41,57.01,113.2,29.48,47.47,8.91,48.52,75.6,117.06,30.95,87.27,36.23,69.17,399.55,576.35,141.85,127.73,28.1,104.44,436.55
07-01-2005,61.76,28.89,65.96,58.08,113.11,29.96,46.88,9.1,49.03,76.2,116.7,32.01,87.94,37.49,70.21,405.43,572.45,141.05,128.18,28.41,108.28,440.65
10-01-2005,60.84,28.32,64.75,56.6,111.1,29.7,46.43,9.19,48.98,74.32,112.76,32.18,87.11,37.83,68.03,396.65,576.2,142.75,124.68,28.55,108.08,423.85
11-01-2005,59.88,28.25,64.13,55.5,106.35,28.99,44.06,9,48.34,72.73,107.26,32.03,86.68,36.11,67.82,382.15,571.1,141.15,123.23,27.26,104.33,427.35
12-01-2005,59.02,28.25,61.64,54.08,105.84,28.53,42.97,8.5,48.1,71.18,101.12,31.69,86.29,33.49,65.82,365.78,550.15,139.4,119.14,26.31,102.54,412.8
13-01-2005,59.24,27.65,63.8,55.95,107.64,29.61,43.2,8.79,49.89,69.99,105.76,31.67,87.38,35.09,67.31,374.68,554.2,140.05,123.02,27.24,102.14,437.3
14-01-2005,58.53,27.84,62.68,54.57,106.38,28.88,41.43,8.12,51.5,67.42,106.42,31.94,86.6,34.29,66.68,371.68,524.55,140.15,123.38,26.76,100.97,419.75
17-01-2005,58.26,27.62,61.18,55.57,106,28.59,40.63,8.2,52.01,68.45,105.02,31.89,86.9,33.6,67.74,364.23,521.85,140.25,124.86,26.87,102.12,420.65
